job_id,job_title,company,location,stadt_normalisiert,bfs_region,category,lohnkategorie,wirtschaftszweig_bfs,seniority,contract_type,salary_range,gehalt_monat_chf,gehalt_jahr_chf,bfs_medianlohn_chf,lohn_diskrepanz_chf,lohn_diskrepanz_pct,skills_liste,skills_anzahl,date_posted,job_url
ff2e97cf-f5fc-447e-845e-308acefdd529,Prüfungsleiterin / Prüfungsleiter Senior Auditor (a),Berner Kantonalbank AG (BEKB | BCBE),Bern-Liebefeld,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,CHF 69000 - 109000 (jobs.ch estimate),7417.0,96421.0,7771.0,-354.0,-4.6,,0,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/ff2e97cf-f5fc-447e-845e-308acefdd529/
ad3fbf62-c46d-4801-9b14-5dca65882840,Teamleiterin / Teamleiter Recht (Anwalt / Anwältin) (a) (80-100%),Berner Kantonalbank AG (BEKB | BCBE),Bern-Bundesplatz,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,7771.0,,,Französisch | Compliance,2,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/ad3fbf62-c46d-4801-9b14-5dca65882840/
0287e1e1-ab29-468c-96a8-918b55bfa941,Kundenberaterin / Kundenberater Finanzierungsgeschäfte (a),Berner Kantonalbank AG (BEKB | BCBE),Olten und Bern-Liebefeld,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,,,,7771.0,,,Deutsch | Französisch | Italienisch,3,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/0287e1e1-ab29-468c-96a8-918b55bfa941/
b5633774-c63a-45bf-9674-4d736351b9c4,Mandatsleiter Treuhand und Beratung (w/m/d) 80-100%,BDO AG,Affoltern am Albis,Affoltern am Albis,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,9196.0,,,Deutsch,1,2026-04-21T07:56:58+02:00,https://www.jobs.ch/de/stellenangebote/detail/b5633774-c63a-45bf-9674-4d736351b9c4/
9cc2ebf8-b722-4eda-894a-be4ce6bad5d7,Consumer Finance Specialist (w/m/d),Valora Schweiz AG,Zürich,Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,,,,9983.0,,,Deutsch | Französisch,2,2026-04-21T09:01:57+02:00,https://www.jobs.ch/de/stellenangebote/detail/9cc2ebf8-b722-4eda-894a-be4ce6bad5d7/
8112385e-8a3e-4923-aaf0-92b05d5b99a7,Privatkundenberater (m/w) Glarus 60 %,Glarner Kantonalbank,Glarus,Glarus,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,,0,2026-04-21T10:31:41+02:00,https://www.jobs.ch/de/stellenangebote/detail/8112385e-8a3e-4923-aaf0-92b05d5b99a7/
cd3569ca-c64f-46a5-a416-aad1f81679f4,"Senior Spezialist/in Marketing Automation, Kampagnen- und Leadmanagement",Zuger Kantonalbank,Baar,Zug,Zentralschweiz,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,,,,7993.0,,,Salesforce,1,2026-04-21T10:56:35+02:00,https://www.jobs.ch/de/stellenangebote/detail/cd3569ca-c64f-46a5-a416-aad1f81679f4/
c5c2db0e-ea95-4005-ad96-57c0f1dcf1d4,Sachbearbeiter Treuhand (w/m/d) 80-100%,BDO AG,Dättwil AG,Dättwil AG,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,,,,9196.0,,,,0,2026-04-21T11:26:43+02:00,https://www.jobs.ch/de/stellenangebote/detail/c5c2db0e-ea95-4005-ad96-57c0f1dcf1d4/
99861fd7-002a-4e7a-a0c3-619987852bc3,"Werkstudent:in Content, Social Media & Event Marketing",LLB – Liechtensteinische Landesbank AG,Vaduz,Vaduz,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Junior,Hybrid,CHF 20000 - 60000 (jobs.ch estimate),,,9196.0,,,,0,2026-04-21T13:01:57+02:00,https://www.jobs.ch/de/stellenangebote/detail/99861fd7-002a-4e7a-a0c3-619987852bc3/
5c77d358-3fcf-4b87-ab51-f99c24fce38c,Bachelor Graduate Human Resources,LLB – Liechtensteinische Landesbank AG,Vaduz,Vaduz,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Junior,On-site,CHF 80000 - 120000 (jobs.ch estimate),8333.0,108329.0,9196.0,-863.0,-9.4,,0,2026-04-21T13:01:58+02:00,https://www.jobs.ch/de/stellenangebote/detail/5c77d358-3fcf-4b87-ab51-f99c24fce38c/
4a6e50c4-483c-4920-b2ae-429b0c44f4a6,Conseiller·ère relation clientèle,Banque Cantonale Neuchâteloise,Colombier NE,Colombier NE,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,,0,2026-04-21T13:03:38+02:00,https://www.jobs.ch/de/stellenangebote/detail/4a6e50c4-483c-4920-b2ae-429b0c44f4a6/
3dee851e-a739-46ae-b8de-1561883ed852,Assistent Wirtschaftsprüfung (w/m/d),BDO AG,Solothurn,Solothurn,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,Hybrid,CHF 56050 - 96050 (jobs.ch estimate),6338.0,82394.0,7771.0,-1433.0,-18.4,Deutsch | Englisch,2,2026-04-21T14:27:04+02:00,https://www.jobs.ch/de/stellenangebote/detail/3dee851e-a739-46ae-b8de-1561883ed852/
498bb33a-8bf6-4151-b925-3c0ec14c43af,Associate - Karrierestart im Risk & Regulatory (Rotations Program),PwC,Zürich,Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,CHF 112000 - 152000 (jobs.ch estimate),11000.0,143000.0,9983.0,1017.0,10.2,Risk Management | Compliance,2,2026-04-21T14:27:05+02:00,https://www.jobs.ch/de/stellenangebote/detail/498bb33a-8bf6-4151-b925-3c0ec14c43af/
9b70e7aa-6a62-446a-a5f2-8d451ab59388,"Trader, eFX Spot & Digital Assets Trading",Swissquote Bank,Gland,Gland,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,Risk Management,1,2026-04-21T16:03:48+02:00,https://www.jobs.ch/de/stellenangebote/detail/9b70e7aa-6a62-446a-a5f2-8d451ab59388/
8d475c5a-0543-4b07-9ce4-dc00473105b0,"Manager, Donor Engagement 80%-100% (m/w/d)",LGT,Zürich (CH),Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,On-site,CHF 75275 - 115275 (jobs.ch estimate),7940.0,103220.0,9983.0,-2043.0,-20.5,Excel | Salesforce | Deutsch | Englisch,4,2026-04-21T17:02:39+02:00,https://www.jobs.ch/de/stellenangebote/detail/8d475c5a-0543-4b07-9ce4-dc00473105b0/
990ef448-345b-449c-b7f9-85bf31e18d4a,"Manager, Reporting and Donor Relations 80% - 100% (m/w/d)",LGT,Zürich (CH),Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,On-site,CHF 84500 - 124500 (jobs.ch estimate),8708.0,113204.0,9983.0,-1275.0,-12.8,Excel | Power BI | Salesforce | Deutsch | Englisch | Compliance | Controlling,7,2026-04-21T17:02:39+02:00,https://www.jobs.ch/de/stellenangebote/detail/990ef448-345b-449c-b7f9-85bf31e18d4a/
efa9fa2d-4f65-402d-9326-59ca2f5843a0,Verantwortliche:r Kommunikation & Marketing (50 - 80 %),Jörg Lienert AG,Ruswil,Ruswil,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,Deutsch,1,2026-04-21T18:32:35+02:00,https://www.jobs.ch/de/stellenangebote/detail/efa9fa2d-4f65-402d-9326-59ca2f5843a0/
0ea9ad8b-9ef7-48b7-a7d3-31b8d427cee7,"Mitarbeiter/-in Telefon/Empfang (Di/Do/Fr), 60%",VZ VermögensZentrum,Zürich,Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9983.0,,,Englisch | Französisch | Italienisch,3,2026-04-13T03:00:00+02:00,https://www.jobs.ch/de/stellenangebote/detail/0ea9ad8b-9ef7-48b7-a7d3-31b8d427cee7/
6a4724bd-f398-43ec-a477-e55e9d8b4ecb,"​Individualkundenberater*in, 80 % bis 100 %",Bank Avera,Bauma,Bauma,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,9196.0,,,,0,2026-04-17T15:03:10+02:00,https://www.jobs.ch/de/stellenangebote/detail/6a4724bd-f398-43ec-a477-e55e9d8b4ecb/
3a7692c9-ba5f-4661-a1a0-0ac3b8f7504b,Medical Science Liaison (h/f/d),ISG Personamanagement Deutschland GmbH,"Freiburg, Rive droite, Rive gauche, Genf, Jura",Fribourg,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 66000 - 106000 (jobs.ch estimate),7167.0,93171.0,7995.0,-828.0,-10.4,,0,2026-04-19T02:00:10+02:00,https://www.jobs.ch/de/stellenangebote/detail/3a7692c9-ba5f-4661-a1a0-0ac3b8f7504b/
7f9f69e8-06d6-43f2-9e75-11eb619a7ab1,Apprentis employés de commerce CFC (f/h),Aon Suisse SA,Neuchâtel,Neuchatel,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,CHF 12698 - 19793 (jobs.ch estimate),,,7771.0,,,,0,2026-04-20T15:33:13+02:00,https://www.jobs.ch/de/stellenangebote/detail/7f9f69e8-06d6-43f2-9e75-11eb619a7ab1/
146c822f-c44c-4466-a692-71c983d7c150,"(Senior) Business Analyst, 80-100%",VZ VermögensZentrum,Zug,Zug,Zentralschweiz,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Senior,On-site,,,,7993.0,,,Projektmanagement,1,2026-04-20T16:02:54+02:00,https://www.jobs.ch/de/stellenangebote/detail/146c822f-c44c-4466-a692-71c983d7c150/
ed91d8ee-cb5a-415d-a3dc-c65cf3de6b82,"Einstieg ins Financial Consulting – Unabhängige Vermögensberatung, 80-100%",VZ VermögensZentrum,Chur,Chur,Ostschweiz,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Junior,On-site,,,,7936.0,,,,0,2026-04-20T16:02:54+02:00,https://www.jobs.ch/de/stellenangebote/detail/ed91d8ee-cb5a-415d-a3dc-c65cf3de6b82/
ede1250a-fe55-462d-947f-1d6f983dccec,Sachbearbeiter:in Accounting - Treuhand (50 - 80 %),Jörg Lienert AG,Luzern,Luzern,Zentralschweiz,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,,,,7993.0,,,,0,2026-04-20T16:32:35+02:00,https://www.jobs.ch/de/stellenangebote/detail/ede1250a-fe55-462d-947f-1d6f983dccec/
fc03e938-5a02-4f00-8b47-a5c4dca95809,KV-Absolvent/in (m/w/d),Diallon,Zürich,Zuerich,Zürich,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,CHF 68000 - 75000,5958.0,77454.0,9983.0,-4025.0,-40.3,Deutsch,1,2026-04-20T16:33:06+02:00,https://www.jobs.ch/de/stellenangebote/detail/fc03e938-5a02-4f00-8b47-a5c4dca95809/
d26dde4d-c3c3-4bb1-b6aa-a02dd36a4576,Documentary Credits Officer,FINDERS SA,1204 Geneva,Genf,Genferseeregion,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Mid,On-site,CHF 55000 - 95000 (jobs.ch estimate),6250.0,81250.0,9812.0,-3562.0,-36.3,Compliance,1,2026-04-20T17:33:14+02:00,https://www.jobs.ch/de/stellenangebote/detail/d26dde4d-c3c3-4bb1-b6aa-a02dd36a4576/
