region,wirtschaftszweig,medianlohn_chf
Ostschweiz,Grundstücks- und Wohnungswesen,6514.0
Zentralschweiz,Grundstücks- und Wohnungswesen,6962.0
Tessin,Grundstücks- und Wohnungswesen,5276.0
Schweiz,"Freiberufliche, wissenschaftliche und technische Dienstl.",7677.0
Genferseeregion,"Freiberufliche, wissenschaftliche und technische Dienstl.",7746.0
Espace Mittelland,"Freiberufliche, wissenschaftliche und technische Dienstl.",7341.0
Nordwestschweiz,"Freiberufliche, wissenschaftliche und technische Dienstl.",7916.0
Zürich,"Freiberufliche, wissenschaftliche und technische Dienstl.",8098.0
Ostschweiz,"Freiberufliche, wissenschaftliche und technische Dienstl.",6923.0
Zentralschweiz,"Freiberufliche, wissenschaftliche und technische Dienstl.",7668.0
Tessin,"Freiberufliche, wissenschaftliche und technische Dienstl.",6174.0
Schweiz,Freiberufliche u. technische Dienstl.,7717.0
Genferseeregion,Freiberufliche u. technische Dienstl.,7818.0
Espace Mittelland,Freiberufliche u. technische Dienstl.,7232.0
Nordwestschweiz,Freiberufliche u. technische Dienstl.,7754.0
Zürich,Freiberufliche u. technische Dienstl.,8286.0
Ostschweiz,Freiberufliche u. technische Dienstl.,7051.0
Zentralschweiz,Freiberufliche u. technische Dienstl.,7948.0
Tessin,Freiberufliche u. technische Dienstl.,6345.0
Schweiz,Forschung u. Entwicklung,8764.0
Genferseeregion,Forschung u. Entwicklung,8333.0
Espace Mittelland,Forschung u. Entwicklung,8906.0
Nordwestschweiz,Forschung u. Entwicklung,9132.0
Zürich,Forschung u. Entwicklung,8729.0
Ostschweiz,Forschung u. Entwicklung,8448.0
Zentralschweiz,Forschung u. Entwicklung,8748.0
Tessin,Forschung u. Entwicklung,5571.0
Schweiz,"Sonst. freiberufl., wiss. u. techn. Tätigk.",6667.0
Genferseeregion,"Sonst. freiberufl., wiss. u. techn. Tätigk.",6621.0
Espace Mittelland,"Sonst. freiberufl., wiss. u. techn. Tätigk.",6908.0
Nordwestschweiz,"Sonst. freiberufl., wiss. u. techn. Tätigk.",6749.0
Zürich,"Sonst. freiberufl., wiss. u. techn. Tätigk.",7039.0
Ostschweiz,"Sonst. freiberufl., wiss. u. techn. Tätigk.",6011.0
Zentralschweiz,"Sonst. freiberufl., wiss. u. techn. Tätigk.",6486.0
Tessin,"Sonst. freiberufl., wiss. u. techn. Tätigk.",5122.0
Schweiz,Sonst. wirtschaftliche Dienstleistungen,5421.0
Genferseeregion,Sonst. wirtschaftliche Dienstleistungen,5400.0
Espace Mittelland,Sonst. wirtschaftliche Dienstleistungen,5606.0
Nordwestschweiz,Sonst. wirtschaftliche Dienstleistungen,5673.0
Zürich,Sonst. wirtschaftliche Dienstleistungen,5273.0
Ostschweiz,Sonst. wirtschaftliche Dienstleistungen,5432.0
Zentralschweiz,Sonst. wirtschaftliche Dienstleistungen,5686.0
Tessin,Sonst. wirtschaftliche Dienstleistungen,4281.0
