job_id,job_title,company,location,stadt_normalisiert,bfs_region,category,lohnkategorie,wirtschaftszweig_bfs,seniority,contract_type,salary_range,gehalt_monat_chf,gehalt_jahr_chf,bfs_medianlohn_chf,lohn_diskrepanz_chf,lohn_diskrepanz_pct,skills_liste,skills_anzahl,date_posted,job_url
81029f08-0f6a-453a-a185-a1b62ecaf325,Directeur.rice (100%),Emmenegger Compétences Conseils SA,Bernex,Bern,Espace Mittelland,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Mid,On-site,CHF 120000 - 160000 (jobs.ch estimate),11667.0,151671.0,7341.0,4326.0,58.9,,0,2026-04-17T02:00:08+02:00,https://www.jobs.ch/de/stellenangebote/detail/81029f08-0f6a-453a-a185-a1b62ecaf325/
8b4b86ee-297f-49bd-9e37-4bbee0931e0f,Payroll et Gestionnaire RH expérimenté(e),HCM Partners,1205 Genève,Genf,Genferseeregion,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Mid,On-site,CHF 85474 - 125474 (jobs.ch estimate),8790.0,114270.0,7746.0,1044.0,13.5,,0,2026-04-17T02:00:08+02:00,https://www.jobs.ch/de/stellenangebote/detail/8b4b86ee-297f-49bd-9e37-4bbee0931e0f/
de3f9a19-cb2e-486d-9bc5-b206922eaa7b,Gestionnaire RH & Payroll (à 60%),Vivara SA,Lausanne,Lausanne,Genferseeregion,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Mid,On-site,CHF 71936 - 111936 (jobs.ch estimate),7661.0,99593.0,7746.0,-85.0,-1.1,,0,2026-04-17T08:34:28+02:00,https://www.jobs.ch/de/stellenangebote/detail/de3f9a19-cb2e-486d-9bc5-b206922eaa7b/
bd8a7bc6-6ec4-4dd5-861c-19f2658a6583,Showroom Host / Hostess - Premium Automobilbereich,Workmanagement AG,Zürich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Mid,On-site,CHF 39000 - 79000 (jobs.ch estimate),4917.0,63921.0,8098.0,-3181.0,-39.3,,0,2026-04-17T18:02:46+02:00,https://www.jobs.ch/de/stellenangebote/detail/bd8a7bc6-6ec4-4dd5-861c-19f2658a6583/
14a86962-aa62-4e29-93d6-4b3912c292be,Employé de commerce bilingue FR/ALL,OK JOB SA,Lausanne,Lausanne,Genferseeregion,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Mid,On-site,CHF 45000 - 85000 (jobs.ch estimate),5417.0,70421.0,7746.0,-2329.0,-30.1,,0,2026-04-20T11:34:11+02:00,https://www.jobs.ch/de/stellenangebote/detail/14a86962-aa62-4e29-93d6-4b3912c292be/
6b731c4c-e330-4c1f-882e-aee683f137a7,KV-Praktikum mit Entwicklungsperspektive in der Personalberatung,Diallon,Zürich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Junior,On-site,CHF 15000 - 20000,17500.0,227500.0,8098.0,9402.0,116.1,,0,2026-04-20T15:33:04+02:00,https://www.jobs.ch/de/stellenangebote/detail/6b731c4c-e330-4c1f-882e-aee683f137a7/
1ca78e59-157d-4e2c-8646-8ed170afdd2f,Transfer Pricing Manager / Senior Manager,PwC,Zürich,Zuerich,Zürich,Beratung diverse,Mittellohn,"Freiberufliche, wissenschaftliche und technische Dienstl.",Lead/Manager,On-site,CHF 82500 - 122500 (jobs.ch estimate),8542.0,111046.0,8098.0,444.0,5.5,Excel | Deutsch | Englisch,3,2026-04-21T17:02:18+02:00,https://www.jobs.ch/de/stellenangebote/detail/1ca78e59-157d-4e2c-8646-8ed170afdd2f/
64a42f70-59de-4161-8415-1bd0a117426c,PAYSAGISTES QUALIFIÉS (H/F),Temporia SA,1020 Renens,Lausanne,Genferseeregion,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 45000 - 85000 (jobs.ch estimate),5417.0,70421.0,6205.0,-788.0,-12.7,,0,2026-04-21T15:34:26+02:00,https://www.jobs.ch/de/stellenangebote/detail/64a42f70-59de-4161-8415-1bd0a117426c/
435ea259-00a3-40c3-b822-37a81ab5b963,Polier Strassenbau (m/w/d),Walo Bertschinger AG,Gümligen,Gümligen,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Mid,On-site,CHF 68350 - 105000 (jobs.ch estimate),7223.0,93899.0,6116.0,1107.0,18.1,,0,2026-04-21T16:03:33+02:00,https://www.jobs.ch/de/stellenangebote/detail/435ea259-00a3-40c3-b822-37a81ab5b963/
91985aa5-f4c3-459c-8cb3-24a44e7abb96,Responsable de Mandats VD / VS à 100%,Equans Switzerland AG,Prilly,Prilly,Andere,Baugewerbe / Immobilien,Mittellohn,Baugewerbe,Lead/Manager,On-site,CHF 88104 - 120000 (jobs.ch estimate),8671.0,112723.0,6116.0,2555.0,41.8,,0,2026-04-21T16:32:51+02:00,https://www.jobs.ch/de/stellenangebote/detail/91985aa5-f4c3-459c-8cb3-24a44e7abb96/
